CICLO,ID_ENTIDAD_FEDERATIVA,ENTIDAD_FEDERATIVA,MONTO_IMPUESTOS,MONTO_DERECHOS,MONTO_PREDIAL,MONTO_AGUA,TOTAL_RECAUDACION_LOCAL,MONTO_RECAUDADO_PERCAPITA ,LUGAR_NACIONAL_PERCAPITA,PROMEDIO_RECAUDACION_PERCAPITA_NACIONAL,POBLACION
2019,30,Veracruz de Ignacio de la Llave,3804101133,1727324928,1022980726,2533095215,9087502001,1120,27,2487,8112505
2004,31,Yucatán,232091596,142294639,113850562,148989282,637226079,384,25,798,1658210
2005,31,Yucatán,260057633,142739498,120181896,196281630,719260657,395,26,842,1818948
2006,31,Yucatán,346386611,240355826,142141501,235434750,964318688,530,22,951,1818948
2007,31,Yucatán,353918893,197285813,170103320,239309113,960617139,528,28,1089,1818948
2008,31,Yucatán,377149401,228646924,215206925,245617618,1066620868,586,28,1209,1818948
2009,31,Yucatán,416255082,225076369,236873565,265170521,1143375537,629,26,1235,1818948
2010,31,Yucatán,670429318,198696092,246826298,270233582,1386185290,709,25,1277,1955577
2011,31,Yucatán,938929227,389568185,253448032,292618801,1874564245,959,24,1469,1955577
2012,31,Yucatán,1130268070,484312988,264778179,300406787,2179766024,1115,26,1692,1955577
2013,31,Yucatán,1182223781,304228326,290227862,317655412,2094335381,1071,23,1694,1955577
2014,31,Yucatán,1173607657,434530497,329612044,329254130,2267004328,1159,21,1780,1955577
2015,31,Yucatán,1261909738,689768965,372660841,333823188,2658162732,1267,18,1796,2097175
2016,31,Yucatán,1312890741,870907889,454145780,359794174,2997738584,1429,18,1950,2097175
2017,31,Yucatán,1412925938,1299332443,488976236,391597684,3592832301,1713,16,2107,2097175
2018,31,Yucatán,1459182169,1015702760,541227892,398343819,3414456641,1628,18,2245,2097175
2019,31,Yucatán,1650975881,1347895991,635943265,442644354,4077459490,1944,17,2487,2097175
2004,32,Zacatecas,141851526,233407807,122973573,283948789,782181695,578,18,798,1353610
2005,32,Zacatecas,167665432,261827271,161916122,325759633,917168458,671,17,842,1367692
2006,32,Zacatecas,196749827,270898668,217443773,365429504,1050521772,768,18,951,1367692
2007,32,Zacatecas,231631566,315370593,235351474,401457548,1183811181,866,18,1089,1367692
2008,32,Zacatecas,273454733,413015432,238542293,451168246,1376180704,1006,19,1209,1367692
2009,32,Zacatecas,248603795,334737835,243111518,460992215,1287445363,941,21,1235,1367692
2010,32,Zacatecas,266806715,347080271,246857451,476960029,1337704466,897,22,1277,1490668
2011,32,Zacatecas,308009311,674517986,270604539,497223826,1750355662,1174,17,1469,1490668
2012,32,Zacatecas,475627594,428457914,307459067,562351686,1773896260,1190,22,1692,1490668
2013,32,Zacatecas,503813607,390611881,319552221,577214607,1791192316,1202,20,1694,1490668
2014,32,Zacatecas,442717540,422115183,344272389,614935936,1824041048,1224,18,1780,1490668
2015,32,Zacatecas,375551421,464564891,384280524,673855806,1898252642,1202,19,1796,1579209
2016,32,Zacatecas,424203835,515489448,392032795,728186460,2059912538,1304,21,1950,1579209
2017,32,Zacatecas,826499545,589465508,405905015,748622875,2570492943,1628,18,2107,1579209
2018,32,Zacatecas,951306466,659584251,304476371,483057671,2398424759,1519,20,2245,1579209
2019,32,Zacatecas,1099736993,764856299,417900506,546479704,2828973502,1791,19,2487,1579209
